name,state,city,category,description,short_description,best_time,estimated_cost,recommended_duration,latitude,longitude,rating,image_url,tags,is_hidden_gem,sustainability_score
Khajuraho Group of Temples,Madhya Pradesh,Khajuraho,Heritage,"The Khajuraho Group of Monuments are famous for their Nagara-style architectural symbolism and intricate erotic rock sculptures. Built during the Chandela dynasty between 950 and 1050 AD, it is a UNESCO World Heritage site.",UNESCO world heritage site famous for intricate Nagara architectural stone carvings and ancient temples.,October to March,400,4,24.8318,79.9199,4.9,https://images.unsplash.com/photo-1599661046289-e31897846e41?q=80&w=800,History|Culture|Architecture|Heritage,False,8.8
Sanchi Stupa,Madhya Pradesh,Sanchi,Spiritual,Great Stupa at Sanchi is one of the oldest stone structures in India and an important monument of Indian Architecture. It was originally commissioned by the emperor Ashoka in the 3rd century BCE.,Ancient Buddhist stupa commissioned by Emperor Ashoka featuring ornamental stone torana gateways.,October to March,250,3,23.4833,77.7400,4.8,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Spirituality|History|Culture,False,9.1
Gwalior Fort & Man Singh Palace,Madhya Pradesh,Gwalior,Heritage,"Gwalior Fort is an 8th-century hill fort near Gwalior, Madhya Pradesh. Described by Mughal emperor Babur as the pearl among fortresses of India, it houses the turquoise-tiled Man Singh Palace.",Imposing hilltop fortress housing turquoise-tiled royal palaces and ancient rock statues.,October to March,300,3.5,26.2307,78.1697,4.7,https://images.unsplash.com/photo-1564507592333-c60657eea523?q=80&w=800,History|Heritage|Architecture,False,8.6
Kanha National Park & Tiger Reserve,Madhya Pradesh,Mandla,Wildlife,"Kanha Tiger Reserve is one of the tiger reserves of India and the largest national park of Madhya Pradesh. It is home to Bengal tigers, Indian leopards, and the rare Barasingha swamp deer.",Vast sal forest tiger reserve inspired Rudyard Kiplings Jungle Book.,October to June,1500,8,22.3345,80.6115,4.9,/static/images/places/kanha.jpg,Wildlife|Nature|Adventure,False,9.4
Pachmarhi Hill Station & Bee Falls,Madhya Pradesh,Pachmarhi,Hill Station,"Pachmarhi is a hill station in Hoshangabad district of Madhya Pradesh state. It is widely known as Satpura ki Rani (Queen of Satpura), situated at a height of 1,067 m.","Serene Satpura mountain hill station featuring waterfalls, ancient caves, and pine forests.",October to June,600,6,22.4674,78.4344,4.7,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Relaxation|Hill Station,True,9.3
Bhedaghat Marble Rocks & Dhuandhar Falls,Madhya Pradesh,Jabalpur,Nature,Bhedaghat is famous for high marble rocks soaring along the Narmada River. Moonlight boating between the marble cliffs and Dhuandhar waterfall are premier attractions.,Soaring white marble canyon cliffs along Narmada river with misty roaring waterfalls.,October to March,350,3,23.1311,79.8009,4.8,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?q=80&w=800,Nature|Photography|Adventure,True,9.2
Statue of Unity & Kevadia,Gujarat,Kevadia,Heritage,"The Statue of Unity is the world's tallest statue, with a height of 182 metres, depicting Indian statesman and independence activist Vallabhbhai Patel. Set against the Narmada river Dam.",Worlds tallest 182-meter colossal statue and eco-tourist complex on the Narmada riverbank.,October to March,500,5,21.8380,73.7191,4.9,https://images.unsplash.com/photo-1603201667141-5a2d4c673378?q=80&w=800,Heritage|Culture|Photography,False,9.0
Rann of Kutch Salt Desert,Gujarat,Dhordo,Nature,"The Great Rann of Kutch is a salt marsh in the Thar Desert in Kutch District. It transforms into a vast shimmering white salt desert, host to the famous Rann Utsav cultural festival.",Vast endless white salt desert offering surreal moonlit night views and vibrant folk culture.,November to February,1200,8,23.7846,69.5056,4.9,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=800,Nature|Culture|Photography,False,9.5
Gir National Park Asiatic Lions,Gujarat,Junagadh,Wildlife,"Gir National Park and Wildlife Sanctuary is a forest and wildlife sanctuary in Gujarat, India. Established in 1965, it is the sole natural home of the endangered Asiatic Lion.",Sole natural sanctuary in the world home to wild Asiatic Lions and dry deciduous teak forests.,October to June,1400,6,21.1243,70.8242,4.8,https://images.unsplash.com/photo-1534177616072-ef7dc120449d?q=80&w=800,Wildlife|Nature|Adventure,False,9.3
Somnath & Dwarka Sacred Temples,Gujarat,Somnath,Spiritual,"Somnath Temple is the first among the twelve Jyotirlinga shrines of Shiva. Located on the western coast of Gujarat, it overlooks the Arabian Sea.",Sacred coastal pilgrimage site with rich spiritual history overlooking the Arabian Sea.,October to March,250,3,20.8880,70.4012,4.8,https://images.unsplash.com/photo-1561361513-2d000a50f0dc?q=80&w=800,Spirituality|Culture|History,False,8.9
Amer Fort,Rajasthan,Jaipur,Heritage,"Amer Fort is a majestic fortress situated high on a hill in Amer, Rajasthan. Known for its artistic style elements, large ramparts, series of gates, and cobbled paths, it overlooks Maota Lake.",Majestic hilltop palace fort overlooking Maota Lake with opulent mirror halls and royal architecture.,October to March,500,3,26.9855,75.8513,4.8,https://images.unsplash.com/photo-1599661046289-e31897846e41?q=80&w=800,History|Culture|Photography|Heritage,False,8.5
City Palace Jaipur,Rajasthan,Jaipur,Heritage,"The City Palace, Jaipur was established at the same time as the city of Jaipur itself, by Maharaja Sawai Jai Singh II, who moved his court to Jaipur from Amber in 1727.",Iconic royal complex blending Rajasthani and Mughal architecture in the heart of Jaipur.,October to March,700,2.5,26.9258,75.8237,4.7,https://images.unsplash.com/photo-1603201667141-5a2d4c673378?q=80&w=800,History|Culture|Architecture,False,8.0
